GEO_ID,Census_Tract,Median household income in the past 12 months (in 2020 inflation-adjusted dollars),"Median household income in the past 12 months (in 2020 inflation-adjusted dollars), Owner occupied (dollars)","Median household income in the past 12 months (in 2020 inflation-adjusted dollars), Renter occupied (dollars)"
1400000US06037601301,"Census Tract 6013.01, Los Angeles County, California",65579,100208,41975
1400000US06037601302,"Census Tract 6013.02, Los Angeles County, California",62143,87734,58650
1400000US06037601303,"Census Tract 6013.03, Los Angeles County, California",45563,61932,44417
1400000US06037601401,"Census Tract 6014.01, Los Angeles County, California",50655,90694,41854
1400000US06037601402,"Census Tract 6014.02, Los Angeles County, California",77908,85579,58972
1400000US06037601501,"Census Tract 6015.01, Los Angeles County, California",36737,-,35064
1400000US06037601502,"Census Tract 6015.02, Los Angeles County, California",50000,57819,47364
1400000US06037601600,"Census Tract 6016, Los Angeles County, California",45458,67991,39042
1400000US06037601700,"Census Tract 6017, Los Angeles County, California",37045,70536,31723
1400000US06037601801,"Census Tract 6018.01, Los Angeles County, California",41890,75109,34100
1400000US06037601802,"Census Tract 6018.02, Los Angeles County, California",67361,77266,60000
1400000US06037601900,"Census Tract 6019, Los Angeles County, California",63153,64194,53125
1400000US06037602002,"Census Tract 6020.02, Los Angeles County, California",61319,64393,58750
1400000US06037602003,"Census Tract 6020.03, Los Angeles County, California",47083,64625,43429
1400000US06037602103,"Census Tract 6021.03, Los Angeles County, California",34483,56680,32560
1400000US06037602104,"Census Tract 6021.04, Los Angeles County, California",54321,103594,47635
1400000US06037602105,"Census Tract 6021.05, Los Angeles County, California",51754,93917,44349
1400000US06037602106,"Census Tract 6021.06, Los Angeles County, California",59360,75882,54128
1400000US06037602201,"Census Tract 6022.01, Los Angeles County, California",125575,128053,110064
1400000US06037602202,"Census Tract 6022.02, Los Angeles County, California",82472,107622,51859
1400000US06037602301,"Census Tract 6023.01, Los Angeles County, California",106488,120521,52384
1400000US06037602302,"Census Tract 6023.02, Los Angeles County, California",137051,137244,134643
1400000US06037602402,"Census Tract 6024.02, Los Angeles County, California",82917,100647,73190
1400000US06037602403,"Census Tract 6024.03, Los Angeles County, California",61382,99597,52439
1400000US06037602404,"Census Tract 6024.04, Los Angeles County, California",49038,75625,47524
1400000US06037602504,"Census Tract 6025.04, Los Angeles County, California",47357,98036,46054
1400000US06037602505,"Census Tract 6025.05, Los Angeles County, California",46202,82644,44760
1400000US06037602506,"Census Tract 6025.06, Los Angeles County, California",48735,-,48983
1400000US06037602507,"Census Tract 6025.07, Los Angeles County, California",53044,-,51346
1400000US06037602510,"Census Tract 6025.10, Los Angeles County, California",37813,113015,35000
1400000US06037602511,"Census Tract 6025.11, Los Angeles County, California",50556,136250,44490
1400000US06037602512,"Census Tract 6025.12, Los Angeles County, California",74228,86313,69000
1400000US06037602513,"Census Tract 6025.13, Los Angeles County, California",51500,21329,56206
1400000US06037602601,"Census Tract 6026.01, Los Angeles County, California",70125,86824,37736
1400000US06037602602,"Census Tract 6026.02, Los Angeles County, California",50491,69489,34844
1400000US06037602700,"Census Tract 6027, Los Angeles County, California",91484,92148,-
