GEO_ID,Census_Tract,Median household income in the past 12 months (in 2020 inflation-adjusted dollars),"Median household income in the past 12 months (in 2020 inflation-adjusted dollars), Owner occupied (dollars)","Median household income in the past 12 months (in 2020 inflation-adjusted dollars), Renter occupied (dollars)"
0500000US06037,"Los Angeles County, California",71358,102854,51828
1400000US06037101110,"Census Tract 1011.10, Los Angeles County, California",74625,92891,52188
1400000US06037101122,"Census Tract 1011.22, Los Angeles County, California",93125,104033,69576
1400000US06037101220,"Census Tract 1012.20, Los Angeles County, California",55682,113705,40417
1400000US06037101221,"Census Tract 1012.21, Los Angeles County, California",46274,94808,42054
1400000US06037101222,"Census Tract 1012.22, Los Angeles County, California",30016,65982,27083
1400000US06037101300,"Census Tract 1013, Los Angeles County, California",87066,86480,110694
1400000US06037101400,"Census Tract 1014, Los Angeles County, California",66210,91923,45773
1400000US06037102103,"Census Tract 1021.03, Los Angeles County, California",59005,76667,37250
1400000US06037102104,"Census Tract 1021.04, Los Angeles County, California",98973,97835,107625
1400000US06037102105,"Census Tract 1021.05, Los Angeles County, California",82438,102946,47679
1400000US06037102107,"Census Tract 1021.07, Los Angeles County, California",83200,105250,53448
1400000US06037103101,"Census Tract 1031.01, Los Angeles County, California",109000,123462,-
1400000US06037103102,"Census Tract 1031.02, Los Angeles County, California",71038,76910,30703
1400000US06037103201,"Census Tract 1032.01, Los Angeles County, California",73844,115667,58320
1400000US06037103202,"Census Tract 1032.02, Los Angeles County, California",106125,110357,45125
1400000US06037103300,"Census Tract 1033, Los Angeles County, California",113568,114818,86726
1400000US06037103401,"Census Tract 1034.01, Los Angeles County, California",109271,123177,-
1400000US06037103402,"Census Tract 1034.02, Los Angeles County, California",112306,120684,-
1400000US06037104103,"Census Tract 1041.03, Los Angeles County, California",102128,113977,47500
1400000US06037104105,"Census Tract 1041.05, Los Angeles County, California",50483,73393,27028
1400000US06037104108,"Census Tract 1041.08, Los Angeles County, California",51207,92604,35739
1400000US06037104124,"Census Tract 1041.24, Los Angeles County, California",71000,79409,32955
1400000US06037104201,"Census Tract 1042.01, Los Angeles County, California",71447,83598,39271
1400000US06037104203,"Census Tract 1042.03, Los Angeles County, California",45972,94904,24033
1400000US06037104204,"Census Tract 1042.04, Los Angeles County, California",59844,83958,31575
1400000US06037104310,"Census Tract 1043.10, Los Angeles County, California",90893,83125,105000
1400000US06037104321,"Census Tract 1043.21, Los Angeles County, California",31645,111750,26713
1400000US06037104322,"Census Tract 1043.22, Los Angeles County, California",66083,120324,55142
1400000US06037104401,"Census Tract 1044.01, Los Angeles County, California",59464,76188,40114
1400000US06037104403,"Census Tract 1044.03, Los Angeles County, California",68929,79813,60750
1400000US06037104404,"Census Tract 1044.04, Los Angeles County, California",53594,81500,45293
1400000US06037104500,"Census Tract 1045, Los Angeles County, California",65956,79786,50335
1400000US06037104610,"Census Tract 1046.10, Los Angeles County, California",57188,82738,30870
1400000US06037104620,"Census Tract 1046.20, Los Angeles County, California",68750,75648,-
1400000US06037104701,"Census Tract 1047.01, Los Angeles County, California",42542,71625,39261
1400000US06037104703,"Census Tract 1047.03, Los Angeles County, California",42589,81875,32143
1400000US06037104704,"Census Tract 1047.04, Los Angeles County, California",44647,47132,38403
1400000US06037104821,"Census Tract 1048.21, Los Angeles County, California",70655,86336,40917
1400000US06037104822,"Census Tract 1048.22, Los Angeles County, California",53542,99167,37024
1400000US06037104823,"Census Tract 1048.23, Los Angeles County, California",90852,97031,40526
1400000US06037104824,"Census Tract 1048.24, Los Angeles County, California",73365,93864,-
1400000US06037106010,"Census Tract 1060.10, Los Angeles County, California",96964,113938,75486
1400000US06037106020,"Census Tract 1060.20, Los Angeles County, California",85800,100972,72804
1400000US06037106111,"Census Tract 1061.11, Los Angeles County, California",107277,113333,95868
1400000US06037106112,"Census Tract 1061.12, Los Angeles County, California",96688,103417,-
1400000US06037106113,"Census Tract 1061.13, Los Angeles County, California",99952,124148,49429
1400000US06037106114,"Census Tract 1061.14, Los Angeles County, California",65970,90208,45511
1400000US06037106403,"Census Tract 1064.03, Los Angeles County, California",82875,91319,38421
1400000US06037106405,"Census Tract 1064.05, Los Angeles County, California",64490,86625,54231
1400000US06037106406,"Census Tract 1064.06, Los Angeles County, California",89059,95893,-
1400000US06037106407,"Census Tract 1064.07, Los Angeles County, California",33125,48580,26875
1400000US06037106408,"Census Tract 1064.08, Los Angeles County, California",54038,85469,47907
1400000US06037106510,"Census Tract 1065.10, Los Angeles County, California",85032,112560,61354
1400000US06037106520,"Census Tract 1065.20, Los Angeles County, California",71435,75800,67880
1400000US06037106603,"Census Tract 1066.03, Los Angeles County, California",130806,131333,118681
1400000US06037106604,"Census Tract 1066.04, Los Angeles County, California",56794,98566,48750
1400000US06037106641,"Census Tract 1066.41, Los Angeles County, California",111000,117383,54432
1400000US06037106642,"Census Tract 1066.42, Los Angeles County, California",112273,125335,-
1400000US06037106643,"Census Tract 1066.43, Los Angeles County, California",176429,181324,84293
1400000US06037106645,"Census Tract 1066.45, Los Angeles County, California",114295,128036,51675
1400000US06037106646,"Census Tract 1066.46, Los Angeles County, California",111758,119500,77537
1400000US06037106648,"Census Tract 1066.48, Los Angeles County, California",72165,91827,57083
1400000US06037106649,"Census Tract 1066.49, Los Angeles County, California",94471,101029,39861
1400000US06037107010,"Census Tract 1070.10, Los Angeles County, California",71546,81534,53750
1400000US06037107020,"Census Tract 1070.20, Los Angeles County, California",80739,85947,59028
1400000US06037108101,"Census Tract 1081.01, Los Angeles County, California",141250,146313,86000
1400000US06037108102,"Census Tract 1081.02, Los Angeles County, California",109091,111200,77500
1400000US06037108103,"Census Tract 1081.03, Los Angeles County, California",130585,132154,107850
1400000US06037108104,"Census Tract 1081.04, Los Angeles County, California",150125,151625,142222
1400000US06037108202,"Census Tract 1082.02, Los Angeles County, California",135603,170833,70140
1400000US06037108203,"Census Tract 1082.03, Los Angeles County, California",128646,135938,-
1400000US06037108204,"Census Tract 1082.04, Los Angeles County, California",125536,129063,119293
1400000US06037109100,"Census Tract 1091, Los Angeles County, California",70000,81324,-
1400000US06037109200,"Census Tract 1092, Los Angeles County, California",111293,115117,111164
1400000US06037109300,"Census Tract 1093, Los Angeles County, California",96339,96339,-
1400000US06037109400,"Census Tract 1094, Los Angeles County, California",83986,81607,91827
1400000US06037109500,"Census Tract 1095, Los Angeles County, California",53594,64226,41944
1400000US06037109601,"Census Tract 1096.01, Los Angeles County, California",95820,96742,45563
1400000US06037109603,"Census Tract 1096.03, Los Angeles County, California",65060,94438,32115
1400000US06037109604,"Census Tract 1096.04, Los Angeles County, California",91776,95000,-
1400000US06037109700,"Census Tract 1097, Los Angeles County, California",103153,103341,92222
1400000US06037109800,"Census Tract 1098, Los Angeles County, California",87750,91731,61424
1400000US06037111100,"Census Tract 1111, Los Angeles County, California",107386,112639,106000
1400000US06037111201,"Census Tract 1112.01, Los Angeles County, California",102266,108875,71050
1400000US06037111202,"Census Tract 1112.02, Los Angeles County, California",115799,109306,120859
1400000US06037111204,"Census Tract 1112.04, Los Angeles County, California",150732,146349,151316
1400000US06037111205,"Census Tract 1112.05, Los Angeles County, California",67482,90469,66486
1400000US06037111206,"Census Tract 1112.06, Los Angeles County, California",122014,116972,161419
1400000US06037111302,"Census Tract 1113.02, Los Angeles County, California",62289,110625,41944
1400000US06037111303,"Census Tract 1113.03, Los Angeles County, California",98617,130179,68884
1400000US06037111304,"Census Tract 1113.04, Los Angeles County, California",57581,-,55580
1400000US06037111401,"Census Tract 1114.01, Los Angeles County, California",124946,139792,67917
1400000US06037111402,"Census Tract 1114.02, Los Angeles County, California",47967,91250,41693
1400000US06037113101,"Census Tract 1131.01, Los Angeles County, California",108587,109348,86471
1400000US06037113102,"Census Tract 1131.02, Los Angeles County, California",154514,156513,-
1400000US06037113211,"Census Tract 1132.11, Los Angeles County, California",93571,94092,91927
1400000US06037113212,"Census Tract 1132.12, Los Angeles County, California",94464,118594,82604
1400000US06037113213,"Census Tract 1132.13, Los Angeles County, California",112222,146439,49531
1400000US06037113231,"Census Tract 1132.31, Los Angeles County, California",113929,121375,-
1400000US06037113232,"Census Tract 1132.32, Los Angeles County, California",126424,133185,-
1400000US06037113234,"Census Tract 1132.34, Los Angeles County, California",61580,70365,56290
1400000US06037113235,"Census Tract 1132.35, Los Angeles County, California",105333,136094,74167
1400000US06037113237,"Census Tract 1132.37, Los Angeles County, California",116696,180142,48102
1400000US06037113238,"Census Tract 1132.38, Los Angeles County, California",57523,100333,51582
1400000US06037113239,"Census Tract 1132.39, Los Angeles County, California",44698,-,44612
1400000US06037113301,"Census Tract 1133.01, Los Angeles County, California",84975,188047,60521
1400000US06037113303,"Census Tract 1133.03, Los Angeles County, California",88567,89009,81250
1400000US06037113322,"Census Tract 1133.22, Los Angeles County, California",96387,102778,79950
1400000US06037113323,"Census Tract 1133.23, Los Angeles County, California",77596,82639,77417
1400000US06037113324,"Census Tract 1133.24, Los Angeles County, California",86347,132632,85890
1400000US06037113423,"Census Tract 1134.23, Los Angeles County, California",96108,99451,64097
1400000US06037113424,"Census Tract 1134.24, Los Angeles County, California",89661,131452,-
1400000US06037113425,"Census Tract 1134.25, Los Angeles County, California",55791,138063,54500
1400000US06037113426,"Census Tract 1134.26, Los Angeles County, California",62443,86920,54471
1400000US06037113427,"Census Tract 1134.27, Los Angeles County, California",55811,80446,50795
1400000US06037113428,"Census Tract 1134.28, Los Angeles County, California",107522,108860,68304
1400000US06037115101,"Census Tract 1151.01, Los Angeles County, California",130511,134521,-
1400000US06037115103,"Census Tract 1151.03, Los Angeles County, California",-,-,-
1400000US06037115104,"Census Tract 1151.04, Los Angeles County, California",54814,140228,40580
1400000US06037115202,"Census Tract 1152.02, Los Angeles County, California",64429,92604,43665
1400000US06037115203,"Census Tract 1152.03, Los Angeles County, California",69609,-,57383
1400000US06037115204,"Census Tract 1152.04, Los Angeles County, California",83176,106397,68929
1400000US06037115301,"Census Tract 1153.01, Los Angeles County, California",99938,131172,75776
1400000US06037115302,"Census Tract 1153.02, Los Angeles County, California",52679,105781,36188
1400000US06037115401,"Census Tract 1154.01, Los Angeles County, California",61875,120208,51797
1400000US06037115403,"Census Tract 1154.03, Los Angeles County, California",58013,104013,47315
1400000US06037115404,"Census Tract 1154.04, Los Angeles County, California",69688,100278,53796
1400000US06037117101,"Census Tract 1171.01, Los Angeles County, California",87014,105991,50000
1400000US06037117102,"Census Tract 1171.02, Los Angeles County, California",65833,74000,48110
1400000US06037117201,"Census Tract 1172.01, Los Angeles County, California",50972,91755,38882
1400000US06037117202,"Census Tract 1172.02, Los Angeles County, California",93214,114348,18952
1400000US06037117301,"Census Tract 1173.01, Los Angeles County, California",116333,127650,99205
1400000US06037117302,"Census Tract 1173.02, Los Angeles County, California",104554,117365,56698
1400000US06037117303,"Census Tract 1173.03, Los Angeles County, California",101146,106224,-
1400000US06037117404,"Census Tract 1174.04, Los Angeles County, California",109242,121188,78807
1400000US06037117405,"Census Tract 1174.05, Los Angeles County, California",40202,70625,36357
1400000US06037117407,"Census Tract 1174.07, Los Angeles County, California",39397,-,39267
1400000US06037117408,"Census Tract 1174.08, Los Angeles County, California",40718,48672,39479
1400000US06037117510,"Census Tract 1175.10, Los Angeles County, California",45332,98269,39438
1400000US06037117520,"Census Tract 1175.20, Los Angeles County, California",42738,74063,37473
1400000US06037117530,"Census Tract 1175.30, Los Angeles County, California",49886,102768,43314
1400000US06037119001,"Census Tract 1190.01, Los Angeles County, California",90238,91791,56964
1400000US06037119003,"Census Tract 1190.03, Los Angeles County, California",94219,94184,112581
1400000US06037119004,"Census Tract 1190.04, Los Angeles County, California",84028,98393,76125
1400000US06037119201,"Census Tract 1192.01, Los Angeles County, California",91597,100391,-
1400000US06037119202,"Census Tract 1192.02, Los Angeles County, California",75305,90492,60898
1400000US06037119310,"Census Tract 1193.10, Los Angeles County, California",61250,87431,40481
1400000US06037119320,"Census Tract 1193.20, Los Angeles County, California",74792,71328,75814
1400000US06037119340,"Census Tract 1193.40, Los Angeles County, California",34825,-,35046
1400000US06037119341,"Census Tract 1193.41, Los Angeles County, California",50168,101413,37179
1400000US06037119342,"Census Tract 1193.42, Los Angeles County, California",65149,84643,42981
1400000US06037119400,"Census Tract 1194, Los Angeles County, California",89281,110208,39612
1400000US06037119700,"Census Tract 1197, Los Angeles County, California",98795,108401,-
1400000US06037119801,"Census Tract 1198.01, Los Angeles County, California",97738,97560,113250
1400000US06037119802,"Census Tract 1198.02, Los Angeles County, California",64954,71847,34750
1400000US06037119900,"Census Tract 1199, Los Angeles County, California",84231,94861,44096
1400000US06037120010,"Census Tract 1200.10, Los Angeles County, California",52699,96429,41106
1400000US06037120020,"Census Tract 1200.20, Los Angeles County, California",30669,52083,23750
1400000US06037120030,"Census Tract 1200.30, Los Angeles County, California",38466,93162,33889
1400000US06037120103,"Census Tract 1201.03, Los Angeles County, California",35263,77000,30870
1400000US06037120104,"Census Tract 1201.04, Los Angeles County, California",39922,93438,38854
1400000US06037120105,"Census Tract 1201.05, Los Angeles County, California",36703,67232,28669
1400000US06037120106,"Census Tract 1201.06, Los Angeles County, California",35400,-,36479
1400000US06037120107,"Census Tract 1201.07, Los Angeles County, California",36915,108056,35426
1400000US06037120108,"Census Tract 1201.08, Los Angeles County, California",38194,71528,29721
1400000US06037120300,"Census Tract 1203, Los Angeles County, California",66806,87244,42925
1400000US06037120400,"Census Tract 1204, Los Angeles County, California",58478,77083,50200
1400000US06037121010,"Census Tract 1210.10, Los Angeles County, California",85208,100104,70893
1400000US06037121020,"Census Tract 1210.20, Los Angeles County, California",54956,72045,52875
1400000US06037121101,"Census Tract 1211.01, Los Angeles County, California",70382,99306,55029
1400000US06037121102,"Census Tract 1211.02, Los Angeles County, California",51691,74875,34474
1400000US06037121210,"Census Tract 1212.10, Los Angeles County, California",76250,86406,57273
1400000US06037121221,"Census Tract 1212.21, Los Angeles County, California",73889,80125,52054
1400000US06037121222,"Census Tract 1212.22, Los Angeles County, California",57500,106667,43611
1400000US06037121600,"Census Tract 1216, Los Angeles County, California",79048,80673,54276
1400000US06037121801,"Census Tract 1218.01, Los Angeles County, California",42700,83036,30493
1400000US06037121802,"Census Tract 1218.02, Los Angeles County, California",72844,84792,35000
1400000US06037121900,"Census Tract 1219, Los Angeles County, California",54773,80847,37431
1400000US06037122000,"Census Tract 1220, Los Angeles County, California",70764,81395,54028
1400000US06037122120,"Census Tract 1221.20, Los Angeles County, California",52865,62955,40357
1400000US06037122121,"Census Tract 1221.21, Los Angeles County, California",50893,79808,31250
1400000US06037122122,"Census Tract 1221.22, Los Angeles County, California",41591,49531,40990
1400000US06037122200,"Census Tract 1222, Los Angeles County, California",54744,97961,39548
1400000US06037122410,"Census Tract 1224.10, Los Angeles County, California",37634,55625,29912
1400000US06037122420,"Census Tract 1224.20, Los Angeles County, California",54022,93375,42750
1400000US06037123010,"Census Tract 1230.10, Los Angeles County, California",44327,71875,37500
1400000US06037123020,"Census Tract 1230.20, Los Angeles County, California",60500,74861,39940
1400000US06037123103,"Census Tract 1231.03, Los Angeles County, California",59609,99722,52337
1400000US06037123104,"Census Tract 1231.04, Los Angeles County, California",61389,86875,40515
1400000US06037123203,"Census Tract 1232.03, Los Angeles County, California",53130,74625,45313
1400000US06037123204,"Census Tract 1232.04, Los Angeles County, California",61471,79722,50789
1400000US06037123205,"Census Tract 1232.05, Los Angeles County, California",49280,-,38750
1400000US06037123206,"Census Tract 1232.06, Los Angeles County, California",33724,-,31275
1400000US06037123301,"Census Tract 1233.01, Los Angeles County, California",56380,73177,47171
1400000US06037123303,"Census Tract 1233.03, Los Angeles County, California",53866,71667,46506
1400000US06037123304,"Census Tract 1233.04, Los Angeles County, California",41438,54521,31827
1400000US06037123410,"Census Tract 1234.10, Los Angeles County, California",51094,82361,45828
1400000US06037123420,"Census Tract 1234.20, Los Angeles County, California",47183,111993,33879
1400000US06037123510,"Census Tract 1235.10, Los Angeles County, California",47776,113646,32406
1400000US06037123520,"Census Tract 1235.20, Los Angeles County, California",48696,90000,37823
1400000US06037123601,"Census Tract 1236.01, Los Angeles County, California",57588,115972,37813
1400000US06037123602,"Census Tract 1236.02, Los Angeles County, California",47593,84028,33167
1400000US06037123700,"Census Tract 1237, Los Angeles County, California",80710,95324,53864
1400000US06037123800,"Census Tract 1238, Los Angeles County, California",82785,135036,54524
1400000US06037123901,"Census Tract 1239.01, Los Angeles County, California",52083,94712,45660
1400000US06037123902,"Census Tract 1239.02, Los Angeles County, California",78304,115278,73384
1400000US06037124000,"Census Tract 1240, Los Angeles County, California",85941,86119,85481
1400000US06037124102,"Census Tract 1241.02, Los Angeles County, California",48088,163125,39514
1400000US06037124103,"Census Tract 1241.03, Los Angeles County, California",45598,84327,35313
1400000US06037124104,"Census Tract 1241.04, Los Angeles County, California",41573,132604,36000
1400000US06037124105,"Census Tract 1241.05, Los Angeles County, California",52708,84417,48600
1400000US06037124201,"Census Tract 1242.01, Los Angeles County, California",63750,83333,60648
1400000US06037124203,"Census Tract 1242.03, Los Angeles County, California",53409,67250,45781
1400000US06037124204,"Census Tract 1242.04, Los Angeles County, California",44383,-,45240
1400000US06037124300,"Census Tract 1243, Los Angeles County, California",43807,83000,38750
1400000US06037124400,"Census Tract 1244, Los Angeles County, California",88125,117708,74238
1400000US06037124500,"Census Tract 1245, Los Angeles County, California",89125,135774,56250
1400000US06037124600,"Census Tract 1246, Los Angeles County, California",63370,121806,53529
1400000US06037124700,"Census Tract 1247, Los Angeles County, California",101719,162188,67269
1400000US06037124902,"Census Tract 1249.02, Los Angeles County, California",40668,-,38199
1400000US06037124903,"Census Tract 1249.03, Los Angeles County, California",76780,109323,66302
1400000US06037125101,"Census Tract 1251.01, Los Angeles County, California",73638,142610,65721
1400000US06037125102,"Census Tract 1251.02, Los Angeles County, California",108021,142396,76289
1400000US06037125200,"Census Tract 1252, Los Angeles County, California",80915,122500,66087
1400000US06037125310,"Census Tract 1253.10, Los Angeles County, California",53769,86016,47455
1400000US06037125321,"Census Tract 1253.21, Los Angeles County, California",49560,107279,47476
1400000US06037125322,"Census Tract 1253.22, Los Angeles County, California",33818,-,33818
1400000US06037125402,"Census Tract 1254.02, Los Angeles County, California",80703,123625,60640
1400000US06037125403,"Census Tract 1254.03, Los Angeles County, California",73654,-,73317
1400000US06037125404,"Census Tract 1254.04, Los Angeles County, California",65778,-,65778
1400000US06037125501,"Census Tract 1255.01, Los Angeles County, California",48647,107159,46750
1400000US06037125502,"Census Tract 1255.02, Los Angeles County, California",69397,136800,57125
1400000US06037125600,"Census Tract 1256, Los Angeles County, California",72096,143229,55099
1400000US06037127102,"Census Tract 1271.02, Los Angeles County, California",50224,84073,37167
1400000US06037127103,"Census Tract 1271.03, Los Angeles County, California",55477,87500,55115
1400000US06037127104,"Census Tract 1271.04, Los Angeles County, California",55927,93125,44651
1400000US06037127210,"Census Tract 1272.10, Los Angeles County, California",55614,76058,45179
1400000US06037127220,"Census Tract 1272.20, Los Angeles County, California",43188,140481,35473
1400000US06037127300,"Census Tract 1273, Los Angeles County, California",54659,118333,46062
1400000US06037127400,"Census Tract 1274, Los Angeles County, California",61806,82548,54091
1400000US06037127520,"Census Tract 1275.20, Los Angeles County, California",38333,46012,37743
1400000US06037127603,"Census Tract 1276.03, Los Angeles County, California",48446,118125,46616
1400000US06037127604,"Census Tract 1276.04, Los Angeles County, California",43097,96250,41690
1400000US06037127605,"Census Tract 1276.05, Los Angeles County, California",47099,108125,45236
1400000US06037127606,"Census Tract 1276.06, Los Angeles County, California",64133,115541,53819
1400000US06037127711,"Census Tract 1277.11, Los Angeles County, California",66016,104837,57857
1400000US06037127712,"Census Tract 1277.12, Los Angeles County, California",46026,66060,42331
1400000US06037127803,"Census Tract 1278.03, Los Angeles County, California",45278,105250,37500
1400000US06037127804,"Census Tract 1278.04, Los Angeles County, California",59693,120050,53854
1400000US06037127805,"Census Tract 1278.05, Los Angeles County, California",52917,78068,46600
1400000US06037127806,"Census Tract 1278.06, Los Angeles County, California",44565,83125,41528
1400000US06037127910,"Census Tract 1279.10, Los Angeles County, California",45455,77917,39896
1400000US06037127920,"Census Tract 1279.20, Los Angeles County, California",49604,107833,41012
1400000US06037128101,"Census Tract 1281.01, Los Angeles County, California",58125,126477,51594
1400000US06037128102,"Census Tract 1281.02, Los Angeles County, California",45054,78512,41721
1400000US06037128210,"Census Tract 1282.10, Los Angeles County, California",35969,36630,35739
1400000US06037128220,"Census Tract 1282.20, Los Angeles County, California",47611,105909,42292
1400000US06037128302,"Census Tract 1283.02, Los Angeles County, California",50598,68882,48511
1400000US06037128303,"Census Tract 1283.03, Los Angeles County, California",38880,-,38346
1400000US06037128400,"Census Tract 1284, Los Angeles County, California",97935,129826,51643
1400000US06037128500,"Census Tract 1285, Los Angeles County, California",96048,137500,71042
1400000US06037128601,"Census Tract 1286.01, Los Angeles County, California",55758,126875,48569
1400000US06037128602,"Census Tract 1286.02, Los Angeles County, California",87772,160125,43838
1400000US06037128703,"Census Tract 1287.03, Los Angeles County, California",72837,100089,64762
1400000US06037128704,"Census Tract 1287.04, Los Angeles County, California",118609,155847,80577
1400000US06037128801,"Census Tract 1288.01, Los Angeles County, California",69232,88417,65431
1400000US06037128802,"Census Tract 1288.02, Los Angeles County, California",93526,157519,92230
1400000US06037128910,"Census Tract 1289.10, Los Angeles County, California",99750,146250,59153
1400000US06037131021,"Census Tract 1310.21, Los Angeles County, California",54289,107500,41622
1400000US06037131022,"Census Tract 1310.22, Los Angeles County, California",55357,130542,52995
1400000US06037131023,"Census Tract 1310.23, Los Angeles County, California",60481,90625,38750
1400000US06037131024,"Census Tract 1310.24, Los Angeles County, California",93233,109881,70759
1400000US06037131100,"Census Tract 1311, Los Angeles County, California",91989,94048,80991
1400000US06037131200,"Census Tract 1312, Los Angeles County, California",89507,114583,39338
1400000US06037131300,"Census Tract 1313, Los Angeles County, California",66042,65903,70147
1400000US06037131400,"Census Tract 1314, Los Angeles County, California",74115,89735,49500
1400000US06037131600,"Census Tract 1316, Los Angeles County, California",74868,76571,64375
1400000US06037131701,"Census Tract 1317.01, Los Angeles County, California",74294,121970,51318
1400000US06037131702,"Census Tract 1317.02, Los Angeles County, California",62746,64990,36699
1400000US06037131801,"Census Tract 1318.01, Los Angeles County, California",50563,-,46685
1400000US06037131802,"Census Tract 1318.02, Los Angeles County, California",87050,99792,83026
1400000US06037131900,"Census Tract 1319, Los Angeles County, California",108424,110660,81193
1400000US06037132001,"Census Tract 1320.01, Los Angeles County, California",76972,101768,50872
1400000US06037132002,"Census Tract 1320.02, Los Angeles County, California",87432,102778,67863
1400000US06037132101,"Census Tract 1321.01, Los Angeles County, California",58849,103750,42851
1400000US06037132102,"Census Tract 1321.02, Los Angeles County, California",53190,101689,40362
1400000US06037132301,"Census Tract 1323.01, Los Angeles County, California",46808,211513,44708
1400000US06037132302,"Census Tract 1323.02, Los Angeles County, California",75949,125852,54524
1400000US06037132501,"Census Tract 1325.01, Los Angeles County, California",60677,90764,41462
1400000US06037132502,"Census Tract 1325.02, Los Angeles County, California",40179,71172,25192
1400000US06037132700,"Census Tract 1327, Los Angeles County, California",75234,98879,45156
1400000US06037132900,"Census Tract 1329, Los Angeles County, California",79534,113542,52500
1400000US06037133000,"Census Tract 1330, Los Angeles County, California",75131,71574,76593
1400000US06037133101,"Census Tract 1331.01, Los Angeles County, California",65954,68750,50927
1400000US06037133102,"Census Tract 1331.02, Los Angeles County, California",41875,123750,35726
1400000US06037134001,"Census Tract 1340.01, Los Angeles County, California",67942,86705,59231
1400000US06037134002,"Census Tract 1340.02, Los Angeles County, California",56371,96563,28909
1400000US06037134101,"Census Tract 1341.01, Los Angeles County, California",67792,101830,50000
1400000US06037134103,"Census Tract 1341.03, Los Angeles County, California",72406,88403,51964
1400000US06037134104,"Census Tract 1341.04, Los Angeles County, California",69507,105313,39961
1400000US06037134201,"Census Tract 1342.01, Los Angeles County, California",83295,87788,77774
1400000US06037134302,"Census Tract 1343.02, Los Angeles County, California",104476,109271,103370
1400000US06037134303,"Census Tract 1343.03, Los Angeles County, California",90313,82413,93000
1400000US06037134304,"Census Tract 1343.04, Los Angeles County, California",68438,101932,35583
1400000US06037134305,"Census Tract 1343.05, Los Angeles County, California",39506,-,39360
1400000US06037134306,"Census Tract 1343.06, Los Angeles County, California",55081,91250,49266
1400000US06037134421,"Census Tract 1344.21, Los Angeles County, California",120156,121146,-
1400000US06037134422,"Census Tract 1344.22, Los Angeles County, California",130352,132031,-
1400000US06037134423,"Census Tract 1344.23, Los Angeles County, California",101563,121493,-
1400000US06037134424,"Census Tract 1344.24, Los Angeles County, California",149306,154543,130972
1400000US06037134520,"Census Tract 1345.20, Los Angeles County, California",39397,75278,38509
1400000US06037134521,"Census Tract 1345.21, Los Angeles County, California",53169,113182,50347
1400000US06037134522,"Census Tract 1345.22, Los Angeles County, California",40560,84464,35670
1400000US06037134710,"Census Tract 1347.10, Los Angeles County, California",44397,72214,37781
1400000US06037134720,"Census Tract 1347.20, Los Angeles County, California",77926,103801,47000
1400000US06037134801,"Census Tract 1348.01, Los Angeles County, California",83277,104766,51081
1400000US06037134802,"Census Tract 1348.02, Los Angeles County, California",88806,97381,63322
1400000US06037134901,"Census Tract 1349.01, Los Angeles County, California",87875,110714,40474
1400000US06037134904,"Census Tract 1349.04, Los Angeles County, California",60054,104653,40588
1400000US06037134905,"Census Tract 1349.05, Los Angeles County, California",78465,109125,75450
1400000US06037134906,"Census Tract 1349.06, Los Angeles County, California",61250,-,61250
1400000US06037134907,"Census Tract 1349.07, Los Angeles County, California",82146,-,82146
1400000US06037135102,"Census Tract 1351.02, Los Angeles County, California",150066,152635,99800
1400000US06037135111,"Census Tract 1351.11, Los Angeles County, California",102535,111364,97875
1400000US06037135113,"Census Tract 1351.13, Los Angeles County, California",96042,41190,104074
1400000US06037135115,"Census Tract 1351.15, Los Angeles County, California",63321,71797,61442
1400000US06037135116,"Census Tract 1351.16, Los Angeles County, California",41429,-,-
1400000US06037135201,"Census Tract 1352.01, Los Angeles County, California",105841,107964,53000
1400000US06037135202,"Census Tract 1352.02, Los Angeles County, California",107692,118333,98662
1400000US06037135204,"Census Tract 1352.04, Los Angeles County, California",111250,115069,-
1400000US06037135205,"Census Tract 1352.05, Los Angeles County, California",146500,161875,31859
1400000US06037137000,"Census Tract 1370, Los Angeles County, California",106902,127941,68832
1400000US06037137103,"Census Tract 1371.03, Los Angeles County, California",84327,87667,79142
1400000US06037137104,"Census Tract 1371.04, Los Angeles County, California",114167,118056,-
1400000US06037137202,"Census Tract 1372.02, Los Angeles County, California",78095,133667,66352
1400000US06037137203,"Census Tract 1372.03, Los Angeles County, California",90577,103972,71935
1400000US06037137301,"Census Tract 1373.01, Los Angeles County, California",166172,166328,136875
1400000US06037137302,"Census Tract 1373.02, Los Angeles County, California",146990,164231,98789
1400000US06037137401,"Census Tract 1374.01, Los Angeles County, California",123214,122500,123500
1400000US06037137402,"Census Tract 1374.02, Los Angeles County, California",125750,142563,98012
1400000US06037137501,"Census Tract 1375.01, Los Angeles County, California",93654,127455,71523
1400000US06037137502,"Census Tract 1375.02, Los Angeles County, California",99804,121103,67250
1400000US06037137504,"Census Tract 1375.04, Los Angeles County, California",159464,159286,180125
1400000US06037138000,"Census Tract 1380, Los Angeles County, California",145968,149667,132941
1400000US06037139001,"Census Tract 1390.01, Los Angeles County, California",87952,99432,77659
1400000US06037139200,"Census Tract 1392, Los Angeles County, California",75361,106847,59315
1400000US06037139301,"Census Tract 1393.01, Los Angeles County, California",151406,166786,-
1400000US06037139302,"Census Tract 1393.02, Los Angeles County, California",53561,63603,53057
1400000US06037139303,"Census Tract 1393.03, Los Angeles County, California",50534,92955,36902
